,region_description,data_item_description,sex_description,age_description,adjustment_type_description,observation_month,observation_value
90,Queensland,Unemployment rate (%),Females,15 and over,Original,2020-07,8.1462502
91,Queensland,Unemployment rate (%),Females,15 and over,Original,2020-08,5.9259981
92,Queensland,Unemployment rate (%),Females,15 and over,Original,2020-09,6.2463649
93,Queensland,Unemployment rate (%),Females,15 and over,Original,2020-10,6.9097424
94,Queensland,Unemployment rate (%),Females,15 and over,Original,2020-11,6.6075369
95,Queensland,Unemployment rate (%),Females,15 and over,Original,2020-12,6.5701514
96,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-01,6.6454594
97,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-02,5.8674939
98,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-03,6.3442397
99,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-04,5.8110729
100,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-05,6.0248333
101,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-06,6.3175498
102,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-07,6.0150429
103,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-08,5.7532697
104,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-09,5.2175217
105,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-10,5.3819819
106,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-11,5.7289531
107,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-12,4.9361967
108,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-01,5.5422973
109,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-02,4.9703466
110,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-03,5.4673945
111,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-04,6.5447814
112,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-05,7.4107936
113,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-06,7.1241217
114,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-07,8.3673129
115,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-08,6.1292478
116,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-09,6.5515306
117,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-10,7.5329612
118,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-11,7.4354575
119,Queensland,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-12,7.4396319
120,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-01,NaN
121,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-02,NaN
122,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-03,NaN
123,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-04,NaN
124,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-05,NaN
125,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-06,NaN
126,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-07,NaN
127,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-08,NaN
128,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-09,NaN
129,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-10,NaN
130,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-11,NaN
131,Queensland,Unemployment rate (%),Females,15 and over,Trend,2019-12,NaN
132,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-01,NaN
133,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-02,NaN
134,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-03,NaN
135,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-04,NaN
136,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-05,NaN
137,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-06,NaN
138,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-07,NaN
139,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-08,NaN
140,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-09,NaN
141,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-10,NaN
142,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-11,NaN
143,Queensland,Unemployment rate (%),Females,15 and over,Trend,2020-12,NaN
144,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-01,6.4520105
145,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-02,6.0991949
146,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-03,6.6456264
147,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-04,6.0652506
148,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-05,6.2936774
149,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-06,6.5664759
150,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-07,6.1781539
151,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-08,6.3069557
152,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-09,6.2818451
153,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-10,6.0365165
154,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-11,5.5702177
155,Queensland,Unemployment rate (%),Persons,15 and over,Original,2019-12,5.2543799
156,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-01,6.6780691
157,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-02,6.0782104
158,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-03,6.1425603
159,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-04,7.1989871
160,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-05,7.8695698
161,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-06,7.8824522
162,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-07,8.5852971
163,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-08,7.1866185
164,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-09,7.2804831
165,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-10,7.2496592
166,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-11,6.8504184
167,Queensland,Unemployment rate (%),Persons,15 and over,Original,2020-12,6.8857844
168,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-01,5.9847486
169,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-02,5.5664854
170,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-03,6.0889336
171,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-04,5.9080437
172,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-05,6.2625916
173,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-06,6.4345314
174,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-07,6.3369941
175,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-08,6.3021528
176,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-09,6.5590109
177,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-10,6.3881694
178,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-11,6.2596588
179,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-12,5.6924826
180,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-01,6.1942988
181,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-02,5.5778622
182,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-03,5.6382595
183,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-04,7.002506
184,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-05,7.8245366
185,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-06,7.7183057
186,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-07,8.7952891
187,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-08,7.3623903
188,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-09,7.6120522
189,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-10,7.6934157
190,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-11,7.6875531
191,Queensland,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-12,7.4889826
192,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-01,NaN
193,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-02,NaN
194,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-03,NaN
195,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-04,NaN
196,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-05,NaN
197,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-06,NaN
198,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-07,NaN
199,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-08,NaN
200,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-09,NaN
201,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-10,NaN
202,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-11,NaN
203,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2019-12,NaN
204,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-01,NaN
205,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-02,NaN
206,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-03,NaN
207,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-04,NaN
208,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-05,NaN
209,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-06,NaN
210,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-07,NaN
211,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-08,NaN
212,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-09,NaN
213,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-10,NaN
214,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-11,NaN
215,Queensland,Unemployment rate (%),Persons,15 and over,Trend,2020-12,NaN
0,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-01,6.8581844
1,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-02,6.3642657
2,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-03,6.6968712
3,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-04,6.2593588
4,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-05,6.0925082
5,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-06,6.3496316
6,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-07,7.8360607
7,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-08,7.8078418
8,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-09,6.5634372
9,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-10,6.2703583
10,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-11,6.0455896
11,South Australia,Unemployment rate (%),Males,15 and over,Original,2019-12,7.3101406
12,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-01,5.9885422
13,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-02,6.4574403
14,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-03,6.7476499
15,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-04,8.9498918
16,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-05,8.2924785
17,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-06,8.3224274
18,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-07,8.4076019
19,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-08,7.9638654
20,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-09,6.7171281
21,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-10,6.498742
22,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-11,5.7884574
23,South Australia,Unemployment rate (%),Males,15 and over,Original,2020-12,5.8696379
24,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-01,6.6301851
25,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-02,5.9945021
26,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-03,6.4812625
27,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-04,6.5387229
28,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-05,6.163188
29,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-06,6.4989745
30,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-07,7.4992528
31,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-08,7.6747548
32,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-09,6.6546927
33,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-10,6.5761661
34,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-11,6.3471174
35,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2019-12,7.4090587
36,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-01,5.7781515
37,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-02,6.0653438
38,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-03,6.5280356
39,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-04,9.3482617
40,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-05,8.375199
41,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-06,8.5033671
42,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-07,8.0364629
43,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-08,8.0114831
44,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-09,6.8162772
45,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-10,6.8519836
46,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-11,6.0673422
47,South Australia,Unemployment rate (%),Males,15 and over,Seasonally Adjusted,2020-12,5.9419661
48,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-01,NaN
49,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-02,NaN
50,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-03,NaN
51,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-04,NaN
52,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-05,NaN
53,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-06,NaN
54,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-07,NaN
55,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-08,NaN
56,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-09,NaN
57,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-10,NaN
58,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-11,NaN
59,South Australia,Unemployment rate (%),Males,15 and over,Trend,2019-12,NaN
60,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-01,NaN
61,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-02,NaN
62,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-03,NaN
63,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-04,NaN
64,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-05,NaN
65,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-06,NaN
66,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-07,NaN
67,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-08,NaN
68,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-09,NaN
69,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-10,NaN
70,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-11,NaN
71,South Australia,Unemployment rate (%),Males,15 and over,Trend,2020-12,NaN
72,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-01,6.7078285
73,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-02,5.909753
74,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-03,5.6223352
75,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-04,6.1651741
76,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-05,5.1308549
77,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-06,5.2121526
78,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-07,5.7766234
79,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-08,6.5191573
80,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-09,5.3127125
81,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-10,5.6430209
82,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-11,6.0832783
83,South Australia,Unemployment rate (%),Females,15 and over,Original,2019-12,4.7564172
84,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-01,6.1021617
85,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-02,5.8982017
86,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-03,6.2799884
87,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-04,5.2836552
88,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-05,7.1595067
89,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-06,8.5087199
90,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-07,7.4508919
91,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-08,7.1724003
92,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-09,6.4572123
93,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-10,6.9659345
94,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-11,6.4959526
95,South Australia,Unemployment rate (%),Females,15 and over,Original,2020-12,6.4834061
96,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-01,6.096056
97,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-02,5.357616
98,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-03,5.3520259
99,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-04,5.691547
100,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-05,5.312027
101,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-06,5.6245979
102,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-07,5.9995246
103,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-08,6.878897
104,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-09,5.8619568
105,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-10,5.8183445
106,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-11,5.8971736
107,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2019-12,5.0027132
108,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-01,5.5463405
109,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-02,5.3544332
110,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-03,5.9900706
111,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-04,4.8555784
112,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-05,7.4317079
113,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-06,9.1551309
114,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-07,7.7448002
115,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-08,7.7451714
116,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-09,7.1177572
117,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-10,7.1716196
118,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-11,6.2843873
119,South Australia,Unemployment rate (%),Females,15 and over,Seasonally Adjusted,2020-12,6.8339258
120,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-01,NaN
121,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-02,NaN
122,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-03,NaN
123,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-04,NaN
124,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-05,NaN
125,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-06,NaN
126,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-07,NaN
127,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-08,NaN
128,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-09,NaN
129,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-10,NaN
130,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-11,NaN
131,South Australia,Unemployment rate (%),Females,15 and over,Trend,2019-12,NaN
132,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-01,NaN
133,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-02,NaN
134,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-03,NaN
135,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-04,NaN
136,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-05,NaN
137,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-06,NaN
138,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-07,NaN
139,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-08,NaN
140,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-09,NaN
141,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-10,NaN
142,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-11,NaN
143,South Australia,Unemployment rate (%),Females,15 and over,Trend,2020-12,NaN
144,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-01,6.7887705
145,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-02,6.1527669
146,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-03,6.1929631
147,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-04,6.2148921
148,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-05,5.6351159
149,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-06,5.8057348
150,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-07,6.8539218
151,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-08,7.1867403
152,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-09,5.9620494
153,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-10,5.9701055
154,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-11,6.0638931
155,South Australia,Unemployment rate (%),Persons,15 and over,Original,2019-12,6.0777674
156,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-01,6.0427264
157,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-02,6.1871918
158,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-03,6.5219941
159,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-04,7.1914883
160,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-05,7.7528953
161,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-06,8.4119434
162,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-07,7.9503771
163,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-08,7.5834153
164,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-09,6.5922741
165,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-10,6.7212609
166,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-11,6.1248035
167,South Australia,Unemployment rate (%),Persons,15 and over,Original,2020-12,6.1630794
168,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-01,6.3818101
169,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-02,5.6979826
170,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-03,5.9488865
171,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-04,6.138874
172,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-05,5.757934
173,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-06,6.0822018
174,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-07,6.7838398
175,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-08,7.2911057
176,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-09,6.2736101
177,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-10,6.2130179
178,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-11,6.1300398
179,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2019-12,6.2504058
180,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-01,5.6667915
181,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-02,5.7216197
182,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-03,6.2671007
183,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-04,7.1946345
184,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-05,7.9252515
185,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-06,8.8158886
186,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-07,7.8969679
187,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-08,7.8837175
188,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-09,6.9611605
189,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-10,7.0044338
190,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-11,6.169827
191,South Australia,Unemployment rate (%),Persons,15 and over,Seasonally Adjusted,2020-12,6.367714
192,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-01,NaN
193,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-02,NaN
194,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-03,NaN
195,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-04,NaN
196,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-05,NaN
197,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-06,NaN
198,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-07,NaN
199,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-08,NaN
200,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-09,NaN
201,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-10,NaN
202,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-11,NaN
203,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2019-12,NaN
204,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2020-01,NaN
205,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2020-02,NaN
206,South Australia,Unemployment rate (%),Persons,15 and over,Trend,2020-03,NaN
